,word,positive count,negative count,positive sentiment,negative sentiment
559,damn,6,1,0.4939,-0.4543
560,Pay,11,3,0.0258,-0.4215
561,expected,1,1,0.3595,-0.6369
562,Cara,3,17,0.394333333333,-0.0638
563,Revealed,1,2,0.1343,-0.4588
564,Women,16,44,0.5564375,-0.457490909091
565,life,2,2,0.2468,0.0
566,#news,1,1,0.3612,-0.4404
567,gay,2,24,0.5423,-0.530141666667
568,abusos,1,14,0.34,0.0
569,fire,1,19,0.4939,-0.691242105263
570,else,2,2,0.1991,-0.40515
571,Night,4,4,0.242775,-0.618075
572,Claims,1,71,0.4019,-0.0744338028169
573,worked,2,1,0.595,-0.7753
574,Ailes,2,7,0.1655,-0.849185714286
575,former,4,3,0.4019,-0.720366666667
576,case,1,4,0.25,-0.44755
577,Accuser,1,3,0.3612,-0.6908
578,To,92,137,0.225683695652,-0.0696671532847
579,#HarveyWeinstein,3,27,0.5624,-0.0490703703704
580,cash,2,2,0.4577,0.0
581,w,3,562,0.3853,-0.0148697508897
582,sleeze,1,1,0.4019,0.0
583,2013,1,1,0.4939,0.0
584,behavior,22,45,0.519177272727,-0.231424444444
585,many,21,563,0.5267,-0.540390408526
586,situation,2,9,0.4404,-0.162977777778
587,Angie,1,1,0.4215,-0.6808
588,Any,1,5,0.6908,-0.13838
589,defending,1,20,0.4199,-0.561855
590,Michael,1,4,0.1877,-0.36345
591,Bill,21,71,0.254861904762,-0.471743661972
592,Ronan,64,5,0.3730578125,-0.19416
593,helped,21,4,0.5267,-0.548
594,Tim,3,1,0.7065,-0.3595
595,cant,1,3,0.1511,-0.774066666667
596,good,8,2,0.5557,-0.38865
597,NEWS,1,3,0.7003,-0.421833333333
598,Puerto,2,1,0.296,-0.9001
599,You,15,44,0.483893333333,-0.326411363636
600,Jennifer,3,2,0.5768,-0.21955
601,Cosby,3,4,0.297066666667,-0.12765
602,funny,2,2,0.4404,-0.8023
603,different,1,1,0.1761,-0.296
604,anybody,1,3,0.25,0.0
605,things,1,6,0.4767,-0.30525
606,nobody,2,8,0.21485,-0.1027
607,Did,8,123,0.479525,-0.00568617886179
608,Shouldn,1,3,0.5622,-0.7184
609,Many,1,1,0.4003,-0.3182
610,President,33,9,0.399842424242,-0.390466666667
611,gets,1,2,0.296,-0.3454
612,Bloom,1,75,0.6369,-0.050984
613,Silver,1,4,0.296,0.0
614,status,33,6,0.349121212121,-0.0929
615,They're,1,3,0.5267,-0.2859
616,About,33,621,0.401572727273,-0.0406861513688
617,investigated,1,1,0.4215,-0.7531
618,lawyers,1,3,0.6249,-0.656966666667
619,Room,1,5,0.4404,-0.69864
620,Do,1,12,0.63,-0.0723916666667
621,I,62,1044,0.481987096774,-0.119074904215
622,Maybe,7,9,0.4215,-0.271277777778
623,social,1,17,0.4404,-0.502758823529
624,IT,1,1,0.4436,-0.4543
625,Angeles,4,6,0.3798,-0.3618
626,Movies,89,2,0.2263,0.0
627,IN,3,3,0.664666666667,-0.2781
628,Y,2,7,0.5574,-0.0454571428571
629,IF,1,1,0.6305,-0.5859
630,kept,1,4,0.296,-0.4087
631,Joking,1,1,0.2263,-0.5574
632,Almost,1,1,0.5849,-0.4404
633,Is,40,63,0.41804,-0.559763492063
634,well,1,60,0.8176,-0.277155
635,It,1,28,0.3367,-0.0488857142857
636,tho,1,2,0.2263,-0.10775
637,person,1,2,0.6597,-0.25125
638,accountable,2,1,0.6908,-0.836
639,comes,1,2,0.4019,0.0
640,Have,2,50,0.4479,-0.402208
641,In,10,33,0.52383,-0.206009090909
642,claims,402,36,0.578312437811,-0.568080555556
643,Total,2,1,0.5521,0.0
644,stating,1,1,0.7964,0.0
645,bodies,1,1,0.766,-0.1779
646,If,12,20,0.553933333333,-0.26542
647,responsible,31,1,0.3802,-0.8834
648,Takes,1,2,0.6908,-0.28595
649,liberals,1,1,0.4003,0.0
650,money,4,83,0.475825,-0.0273542168675
651,THREE,1,166,0.2023,-0.1531
652,Sunday,5,1,0.5073,0.0
653,kill,1,3,0.7275,-0.754166666667
